ID,Date,Ave_RBCPI
1,11-Jan,87.2
2,11-Feb,87.2
3,11-Mar,87.2
4,11-Apr,88.5
5,11-May,88.5
6,11-Jun,88.5
7,11-Jul,89.1
8,11-Aug,89.1
9,11-Sep,89.1
10,11-Oct,89.3
11,11-Nov,89.3
12,11-Dec,89.3
13,12-Jan,89.7
14,12-Feb,89.7
15,12-Mar,89.7
16,12-Apr,90.3
17,12-May,90.3
18,12-Jun,90.3
19,12-Jul,90.3
20,12-Aug,90.3
21,12-Sep,90.3
22,12-Oct,90.6
23,12-Nov,90.6
24,12-Dec,90.6
25,13-Jan,90.5
26,13-Feb,90.5
27,13-Mar,90.5
28,13-Apr,90.8
29,13-May,90.8
30,13-Jun,90.8
31,13-Jul,90.8
32,13-Aug,90.8
33,13-Sep,90.8
34,13-Oct,90.8
35,13-Nov,90.8
36,13-Dec,90.8
37,14-Jan,91.2
38,14-Feb,91.2
39,14-Mar,91.2
40,14-Apr,91.9
41,14-May,91.9
42,14-Jun,91.9
43,14-Jul,92.1
44,14-Aug,92.1
45,14-Sep,92.1
46,14-Oct,92.6
47,14-Nov,92.6
48,14-Dec,92.6
49,15-Jan,93.3
50,15-Feb,93.3
51,15-Mar,93.3
52,15-Apr,93.7
53,15-May,93.7
54,15-Jun,93.7
55,15-Jul,94.1
56,15-Aug,94.1
57,15-Sep,94.1
58,15-Oct,94.3
59,15-Nov,94.3
60,15-Dec,94.3
61,16-Jan,94.8
62,16-Feb,94.8
63,16-Mar,94.8
64,16-Apr,96
65,16-May,96
66,16-Jun,96
67,16-Jul,96.2
68,16-Aug,96.2
69,16-Sep,96.2
70,16-Oct,96.8
71,16-Nov,96.8
72,16-Dec,96.8
73,17-Jan,97
74,17-Feb,97
75,17-Mar,97
76,17-Apr,98.5
77,17-May,98.5
78,17-Jun,98.5
79,17-Jul,101.6
80,17-Aug,101.6
81,17-Sep,101.6
82,17-Oct,102.9
83,17-Nov,102.9
84,17-Dec,102.9
85,18-Jan,104.8
86,18-Feb,104.8
87,18-Mar,104.8
88,18-Apr,108
89,18-May,108
90,18-Jun,108
91,18-Jul,108.8
92,18-Aug,108.8
93,18-Sep,108.8
94,18-Oct,108.8
95,18-Nov,108.8
96,18-Dec,108.8
97,19-Jan,108.6
98,19-Feb,108.6
99,19-Mar,108.6
100,19-Apr,109.5
101,19-May,109.5
102,19-Jun,109.5
103,19-Jul,110.2
104,19-Aug,110.2
105,19-Sep,110.2
106,19-Oct,110.5
107,19-Nov,110.5
108,19-Dec,110.5
109,20-Jan,110.8
110,20-Feb,110.8
111,20-Mar,110.8
112,20-Apr,111.5
113,20-May,111.5
114,20-Jun,111.5
115,20-Jul,114.6
116,20-Aug,114.6
117,20-Sep,114.6
118,20-Oct,118.5
119,20-Nov,118.5
120,20-Dec,118.5
121,21-Jan,125.9
122,21-Feb,125.9
123,21-Mar,125.9
124,21-Apr,136.4
125,21-May,136.4
126,21-Jun,136.4
127,21-Jul,142.6
128,21-Aug,142.6
129,21-Sep,142.6
130,21-Oct,149
131,21-Nov,149
132,21-Dec,149
