ID,Date,Yearly Total Employement,Monthly Employment
1,11-Jan,"1,317,300",109775
2,11-Feb,"1,317,300",109775
3,11-Mar,"1,317,300",109775
4,11-Apr,"1,317,300",109775
5,11-May,"1,317,300",109775
6,11-Jun,"1,317,300",109775
7,11-Jul,"1,317,300",109775
8,11-Aug,"1,317,300",109775
9,11-Sep,"1,317,300",109775
10,11-Oct,"1,317,300",109775
11,11-Nov,"1,317,300",109775
12,11-Dec,"1,317,300",109775
13,12-Jan,"1,331,570",110964.1667
14,12-Feb,"1,331,570",110964.1667
15,12-Mar,"1,331,570",110964.1667
16,12-Apr,"1,331,570",110964.1667
17,12-May,"1,331,570",110964.1667
18,12-Jun,"1,331,570",110964.1667
19,12-Jul,"1,331,570",110964.1667
20,12-Aug,"1,331,570",110964.1667
21,12-Sep,"1,331,570",110964.1667
22,12-Oct,"1,331,570",110964.1667
23,12-Nov,"1,331,570",110964.1667
24,12-Dec,"1,331,570",110964.1667
25,13-Jan,"1,363,850",113654.1667
26,13-Feb,"1,363,850",113654.1667
27,13-Mar,"1,363,850",113654.1667
28,13-Apr,"1,363,850",113654.1667
29,13-May,"1,363,850",113654.1667
30,13-Jun,"1,363,850",113654.1667
31,13-Jul,"1,363,850",113654.1667
32,13-Aug,"1,363,850",113654.1667
33,13-Sep,"1,363,850",113654.1667
34,13-Oct,"1,363,850",113654.1667
35,13-Nov,"1,363,850",113654.1667
36,13-Dec,"1,363,850",113654.1667
37,14-Jan,"1,384,390",115365.8333
38,14-Feb,"1,384,390",115365.8333
39,14-Mar,"1,384,390",115365.8333
40,14-Apr,"1,384,390",115365.8333
41,14-May,"1,384,390",115365.8333
42,14-Jun,"1,384,390",115365.8333
43,14-Jul,"1,384,390",115365.8333
44,14-Aug,"1,384,390",115365.8333
45,14-Sep,"1,384,390",115365.8333
46,14-Oct,"1,384,390",115365.8333
47,14-Nov,"1,384,390",115365.8333
48,14-Dec,"1,384,390",115365.8333
49,15-Jan,"1,422,280",118523.3333
50,15-Feb,"1,422,280",118523.3333
51,15-Mar,"1,422,280",118523.3333
52,15-Apr,"1,422,280",118523.3333
53,15-May,"1,422,280",118523.3333
54,15-Jun,"1,422,280",118523.3333
55,15-Jul,"1,422,280",118523.3333
56,15-Aug,"1,422,280",118523.3333
57,15-Sep,"1,422,280",118523.3333
58,15-Oct,"1,422,280",118523.3333
59,15-Nov,"1,422,280",118523.3333
60,15-Dec,"1,422,280",118523.3333
61,16-Jan,"1,461,020",121751.6667
62,16-Feb,"1,461,020",121751.6667
63,16-Mar,"1,461,020",121751.6667
64,16-Apr,"1,461,020",121751.6667
65,16-May,"1,461,020",121751.6667
66,16-Jun,"1,461,020",121751.6667
67,16-Jul,"1,461,020",121751.6667
68,16-Aug,"1,461,020",121751.6667
69,16-Sep,"1,461,020",121751.6667
70,16-Oct,"1,461,020",121751.6667
71,16-Nov,"1,461,020",121751.6667
72,16-Dec,"1,461,020",121751.6667
73,17-Jan,"1,496,250",124687.5
74,17-Feb,"1,496,250",124687.5
75,17-Mar,"1,496,250",124687.5
76,17-Apr,"1,496,250",124687.5
77,17-May,"1,496,250",124687.5
78,17-Jun,"1,496,250",124687.5
79,17-Jul,"1,496,250",124687.5
80,17-Aug,"1,496,250",124687.5
81,17-Sep,"1,496,250",124687.5
82,17-Oct,"1,496,250",124687.5
83,17-Nov,"1,496,250",124687.5
84,17-Dec,"1,496,250",124687.5
85,18-Jan,"1,522,880",126906.6667
86,18-Feb,"1,522,880",126906.6667
87,18-Mar,"1,522,880",126906.6667
88,18-Apr,"1,522,880",126906.6667
89,18-May,"1,522,880",126906.6667
90,18-Jun,"1,522,880",126906.6667
91,18-Jul,"1,522,880",126906.6667
92,18-Aug,"1,522,880",126906.6667
93,18-Sep,"1,522,880",126906.6667
94,18-Oct,"1,522,880",126906.6667
95,18-Nov,"1,522,880",126906.6667
96,18-Dec,"1,522,880",126906.6667
97,19-Jan,"1,569,800",130816.6667
98,19-Feb,"1,569,800",130816.6667
99,19-Mar,"1,569,800",130816.6667
100,19-Apr,"1,569,800",130816.6667
101,19-May,"1,569,800",130816.6667
102,19-Jun,"1,569,800",130816.6667
103,19-Jul,"1,569,800",130816.6667
104,19-Aug,"1,569,800",130816.6667
105,19-Sep,"1,569,800",130816.6667
106,19-Oct,"1,569,800",130816.6667
107,19-Nov,"1,569,800",130816.6667
108,19-Dec,"1,569,800",130816.6667
109,20-Jan,"1,449,910",120825.8333
110,20-Feb,"1,449,910",120825.8333
111,20-Mar,"1,449,910",120825.8333
112,20-Apr,"1,449,910",120825.8333
113,20-May,"1,449,910",120825.8333
114,20-Jun,"1,449,910",120825.8333
115,20-Jul,"1,449,910",120825.8333
116,20-Aug,"1,449,910",120825.8333
117,20-Sep,"1,449,910",120825.8333
118,20-Oct,"1,449,910",120825.8333
119,20-Nov,"1,449,910",120825.8333
120,20-Dec,"1,449,910",120825.8333
121,21-Jan,,
122,21-Feb,,
123,21-Mar,,
124,21-Apr,,
125,21-May,,
126,21-Jun,,
127,21-Jul,,
128,21-Aug,,
129,21-Sep,,
130,21-Oct,,
131,21-Nov,,
132,21-Dec,,
